contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TD250718C00040000,2025-04-23 15:12:10+00:00,40.0,22.65,23.3,25.8,0.0,0.0,1,1,0.6630893066406252,True,REGULAR,USD
TD250718C00042500,2025-02-27 17:38:54+00:00,42.5,17.0,15.7,19.9,0.0,0.0,5,40,1.0000000000000003e-05,True,REGULAR,USD
TD250718C00045000,2025-04-04 17:19:38+00:00,45.0,12.02,17.2,20.8,0.0,0.0,40,11,0.8413101806640625,True,REGULAR,USD
TD250718C00047500,2025-03-14 16:04:02+00:00,47.5,11.5,12.9,14.0,0.0,0.0,1,3,1.0000000000000003e-05,True,REGULAR,USD
TD250718C00050000,2025-04-23 19:24:12+00:00,50.0,12.45,13.5,15.3,0.0,0.0,1,233,0.570316796875,True,REGULAR,USD
TD250718C00052500,2025-04-15 19:36:19+00:00,52.5,8.5,0.0,0.0,0.0,0.0,3,0,1.0000000000000003e-05,True,REGULAR,USD
TD250718C00055000,2025-05-12 15:37:06+00:00,55.0,8.9,9.4,10.0,0.0,0.0,1,271,0.36206692626953124,True,REGULAR,USD
TD250718C00057500,2025-05-16 15:41:00+00:00,57.5,7.47,7.0,7.7,0.6699996,9.852935,1,252,0.31836619140624994,True,REGULAR,USD
TD250718C00060000,2025-05-16 13:59:46+00:00,60.0,5.5,5.0,5.2,-0.19999981,-3.5087688,12,895,0.23975369628906246,True,REGULAR,USD
TD250718C00062500,2025-05-13 19:59:58+00:00,62.5,2.99,3.0,3.2,0.0,0.0,3,716,0.20703917968749996,True,REGULAR,USD
TD250718C00065000,2025-05-16 19:50:00+00:00,65.0,1.55,1.45,1.6,-0.43000007,-21.717175,4,1414,0.179695703125,False,REGULAR,USD
TD250718C00067500,2025-05-16 17:16:25+00:00,67.5,0.55,0.5,0.65,-0.19999999,-26.666664,37,405,0.1662681030273438,False,REGULAR,USD
TD250718C00070000,2025-05-16 19:03:24+00:00,70.0,0.18,0.1,0.2,-0.13,-41.935482,1,100,0.157234990234375,False,REGULAR,USD
